Date,Year,Quarter,Month,Month Name
Jun-94,2094,2,6,June
Jul-94,2094,3,7,July
Aug-94,2094,3,8,August
Sep-94,2094,3,9,September
Oct-94,2094,4,10,October
Nov-94,2094,4,11,November
Dec-94,2094,4,12,December
Jan-95,2095,1,1,January
Feb-95,2095,1,2,February
Mar-95,2095,1,3,March
Apr-95,2095,2,4,April
May-95,2095,2,5,May
Jun-95,2095,2,6,June
Jul-95,2095,3,7,July
Aug-95,2095,3,8,August
Sep-95,2095,3,9,September
Oct-95,2095,4,10,October
Nov-95,2095,4,11,November
Dec-95,2095,4,12,December
Jan-96,2096,1,1,January
Feb-96,2096,1,2,February
Mar-96,2096,1,3,March
Apr-96,2096,2,4,April
May-96,2096,2,5,May
Jun-96,2096,2,6,June
Jul-96,2096,3,7,July
Aug-96,2096,3,8,August
Sep-96,2096,3,9,September
Oct-96,2096,4,10,October
Nov-96,2096,4,11,November
Dec-96,2096,4,12,December
Jan-97,2097,1,1,January
Feb-97,2097,1,2,February
Mar-97,2097,1,3,March
Apr-97,2097,2,4,April
May-97,2097,2,5,May
Jun-97,2097,2,6,June
Jul-97,2097,3,7,July
Aug-97,2097,3,8,August
Sep-97,2097,3,9,September
Oct-97,2097,4,10,October
Nov-97,2097,4,11,November
Dec-97,2097,4,12,December
Jan-98,2098,1,1,January
Feb-98,2098,1,2,February
Mar-98,2098,1,3,March
Apr-98,2098,2,4,April
May-98,2098,2,5,May
Jun-98,2098,2,6,June
Jul-98,2098,3,7,July
Aug-98,2098,3,8,August
Sep-98,2098,3,9,September
Oct-98,2098,4,10,October
Nov-98,2098,4,11,November
Dec-98,2098,4,12,December
Jan-99,2099,1,1,January
Feb-99,2099,1,2,February
Mar-99,2099,1,3,March
Apr-99,2099,2,4,April
